col0,col1,col2,col3,col4,col5
PLM 241.B.1,1435 mm track gauge,Compagnie des chemins de fer de Paris à Lyon et à la Méditerranée,prototype,compound locomotive,4
État 241-101,1435 mm track gauge,SNCF,prototype,tender locomotive,3
SNCF 232.U.1,1435 mm track gauge,SNCF,prototype,tender locomotive,4
SNCF 232.P.1,1435 mm track gauge,SNCF,prototype,streamliner,18
PLM 6001,1435 mm track gauge,SNCF,prototype,compound locomotive,4
SNCF 5-230.E.93,1435 mm track gauge,SNCF,prototype,compound locomotive,4
Nord 3.999,1435 mm track gauge,SNCF,prototype,compound locomotive,4
Est 2601 and 2602,1435 mm track gauge,SNCF,prototype,compound locomotive,4
Ouest 901 and 902,1435 mm track gauge,Chemins de fer de l'Ouest,prototype,compound locomotive,4
Nord 3.1501 and 3.1502,1435 mm track gauge,SNCF,prototype,tender locomotive,2
Nord 3.1401 and 3.1402,1435 mm track gauge,SNCF,prototype,compound locomotive,2
Nord 3.101,1435 mm track gauge,Chemins de fer du Nord,prototype,compound locomotive,3
PLM C.1 and C.2,1435 mm track gauge,Compagnie des chemins de fer de Paris à Lyon et à la Méditerranée,prototype,compound locomotive,4
Est 1002 to 1005,1435 mm track gauge,SNCF,prototype,tender locomotive,2
