col0,col1,col2,col3,col4
Bäckebol,2016-01-01,Gothenburg Municipality,Bäckebols parish,Sweden
Bäcke,2016-01-01,Bengtsfors Municipality,Bäcke parish,Sweden
Bråttensby,2016-01-01,Herrljunga Municipality,Bråttensby parish,Sweden
Brålanda,2016-01-01,Vänersborg Municipality,Brålanda parish,Sweden
Brämhult,2016-01-01,Borås Municipality,Brämhults parish,Sweden
Brämaregården,2016-01-01,Gothenburg Municipality,Brämaregårdens parish,Sweden
Björketorp,2016-01-01,Härryda Municipality,Björketorps parish,Sweden
Björkekärr,2016-01-01,Gothenburg Municipality,Björkekärrs parish,Sweden
Bjärby,2016-01-01,Grästorp Municipality,Bjärby parish,Sweden
Bjurum,2016-01-01,Falköping Municipality,Bjurums parish,Sweden
Bitterna,2016-01-01,Vara Municipality,Bitterna parish,Sweden
Biskopsgården,2016-01-01,Gothenburg Municipality,Biskopsgården parish,Sweden
Binneberg,2016-01-01,Skövde Municipality,Binnebergs parish,Sweden
Bergum,2016-01-01,Gothenburg Municipality,Bergum parish,Sweden
