col0,col1,col2,col3
Vegueta,Las Palmas de Gran Canaria,University of Las Palmas de Gran Canaria,Creative Commons Attribution-NonCommercial-NoDerivatives
Hystrix,Rome,Associazione Teriologica Italiana,Creative Commons Attribution-NonCommercial
Informes de la Construcción,Madrid,Instituto de Ciencias de la Construcción Eduardo Torroja,Creative Commons Attribution-NonCommercial
Miscelánea de Estudios Árabes y Hebraicos. Sección Hebreo,Granada,University of Granada,Creative Commons Attribution-NonCommercial
Revista del Centro de Estudios Históricos de Granada y su Reino,Granada,University of Granada,Creative Commons Attribution-NonCommercial
Grasas y Aceites,Seville,Spanish National Research Council,Creative Commons Attribution-NonCommercial
Revista Internacional de Sociología,Madrid,Spanish National Research Council,Creative Commons Attribution-NonCommercial
Informes de la Construcción,Madrid,Spanish National Research Council,Creative Commons Attribution-NonCommercial
Ola Financiera,Mexico City,National Autonomous University of Mexico,Creative Commons Attribution-NonCommercial
Verba Hispanica,Ljubljana,University of Ljubljana,Creative Commons Attribution-ShareAlike
