col0,col1,col2,col3,col4
Maria column,Czech Republic,Vyškov-Město,cultural monument of the Czech Republic,Maria column
Marian Column in Kłodzko,Poland,Kłodzko,object on the Polish cultural heritage register,Maria column
Mariensäule,Germany,Altstadt-Lehel,architectural heritage monument in Bavaria,Maria column
Maria column,Czech Republic,Cetenov,cultural monument of the Czech Republic,Maria column
Devotional pillar in Brtníky,Czech Republic,Brtníky,cultural monument of the Czech Republic,Maria column
Maria column in Brno-Řečkovice,Czech Republic,Řečkovice,cultural monument of the Czech Republic,Maria column
Maria column in Benešov nad Ploučnicí,Czech Republic,Benešov nad Ploučnicí,cultural monument of the Czech Republic,Maria column
Maria column,Czech Republic,Brno-střed,part of national heritage site in the Czech Republic,Maria column
Mary's column,Slovenia,Ljubljana City Municipality,monument of national significance,Maria column
Maria column,Czech Republic,Český Krumlov,cultural monument of the Czech Republic,Maria column
Maria column,Czech Republic,Nymburk,cultural monument of the Czech Republic,Maria column
Maria column in Obříství,Czech Republic,Obříství,cultural monument of the Czech Republic,plague column
Statue of Madona,Czech Republic,Příbor,cultural monument of the Czech Republic,Maria column
Maria column in Obříství,Czech Republic,Obříství,cultural monument of the Czech Republic,Maria column
Mariensäule Hauptplatz Stainz,Austria,Stainz,Denkmalgeschütztes Objekt,Maria column
