col0,col1,col2,col3
Buckhart Township,United States of America,58.75,184
Chandlerville Township,United States of America,25.38,146
Gold Hill Township,United States of America,35.26,107
Cuba Township,United States of America,62.8,233
Bremen Township,United States of America,98,195
Bonus Township,United States of America,35.81,243
Irishtown Township,United States of America,37.13,144
Indian Point Township,United States of America,36.09,217
Nameoki Township,United States of America,26.76,400
Woodland Township,United States of America,38.19,181
Montgomery Township,United States of America,54.5,170
Nettle Creek Township,United States of America,35.79,186
Sparta Township,United States of America,36.09,243
Hutton Township,United States of America,54.64,212
