col0,col1,col2,col3
El Soler de Mansolí,Cultural Asset part of the architectural heritage of Catalonia,Art Nouveau,Spain
Mas Romaní,Cultural Asset part of the architectural heritage of Catalonia,eclectic architecture,Spain
Fenollet,Cultural Asset part of the architectural heritage of Catalonia,vernacular architecture,Spain
el Reig,Cultural Asset part of the architectural heritage of Catalonia,vernacular architecture,Spain
Mas del carrer Enric d'Ossó,Cultural Asset part of the architectural heritage of Catalonia,vernacular architecture,Spain
Mas de la carretera de Tortosa a Santa Bàrbara,Cultural Asset part of the architectural heritage of Catalonia,vernacular architecture,Spain
Mas Martí,Cultural Asset part of the architectural heritage of Catalonia,vernacular architecture,Spain
el Crous,Cultural Asset part of the architectural heritage of Catalonia,vernacular architecture,Spain
Mas la Cau,Cultural Asset part of the architectural heritage of Catalonia,vernacular architecture,Spain
Trasserra,Cultural Asset part of the architectural heritage of Catalonia,vernacular architecture,Spain
el Perer,Cultural Asset part of the architectural heritage of Catalonia,vernacular architecture,Spain
Mierons,Cultural Asset part of the architectural heritage of Catalonia,vernacular architecture,Spain
la Riera,Cultural Asset part of the architectural heritage of Catalonia,vernacular architecture,Spain
