col0,col1,col2,col3
Braunau am Inn District,Braunau am Inn,Rottal-Inn,1040.38
Reutte District,Reutte,Oberallgäu,1236.82
Bregenz District,Bregenz,Lindau,863.34
Wien-Umgebung District,Klosterneuburg,Vienna,484.48
Graz-Umgebung District,Graz,Bruck-Mürzzuschlag District,1100.7
Bludenz District,Bludenz,Bregenz District,1287.52
Feldkirch District,Feldkirch,Bregenz District,278.26
Dornbirn District,Dornbirn,Bregenz District,172.37
Feldkirch District,Feldkirch,Bludenz District,278.26
Bregenz District,Bregenz,Bludenz District,863.34
Feldkirch District,Feldkirch,Dornbirn District,278.26
Bregenz District,Bregenz,Dornbirn District,863.34
Graz-Umgebung District,Graz,Voitsberg District,1100.7
Weiz District,Weiz,Graz-Umgebung District,1098
