col0,col1,col2,col3,col4,col5
Marjory Stoneman Douglas High School shooting,United States of America,Marjory Stoneman Douglas High School,1,Alyssa Alhadeff,17
2018 Strasbourg attack,France,Rue des Orfèvres,1,Chérif Chekatt,5
Pittsburgh synagogue shooting,United States of America,Tree of Life – Or L'Simcha,1,Robert Bowers,11
"Aberdeen, Maryland shooting",United States of America,Aberdeen,1,Snochia Moseley,4
Jacksonville Landing shooting,United States of America,Jacksonville Landing,1,David Katz,3
Marjory Stoneman Douglas High School shooting,United States of America,Marjory Stoneman Douglas High School,1,Nikolas Cruz,17
Sutherland Springs church shooting,United States of America,Sutherland Springs,1,Devin Kelley,26
2017 Las Vegas shooting,United States of America,Las Vegas Village,1,Stephen Paddock,59
2017 Har Adar shooting,Israel,Har Adar,1,Nimer Aljamal,4
2018 Strasbourg attack,France,Rue des Orfèvres,1,Opération Sentinelle,5
2017 Congressional baseball shooting,United States of America,Alexandria,1,Steve Scalise,1
