col0,col1,col2,col3,col4
Providencia,120874,commune of Chile,1897-02-25,14.4
Porvenir,6801,commune of Chile,1899-01-01,6982.6
Peñaflor,90201,commune of Chile,1827-01-01,69.2
Penco,47367,commune of Chile,1550-01-01,107.6
Parral,39404,commune of Chile,1795-01-01,1638.4
Melipilla,123627,commune of Chile,1742-01-01,1344.8
Mariquina,21278,commune of Chile,1850-01-01,1320.5
Maipú,521627,commune of Chile,1821-01-01,133
Lota,43427,commune of Chile,1662-01-01,136
Lonquimay,10251,commune of Chile,1897-01-25,3914.2
Las Condes,249893,commune of Chile,1901-01-01,99.4
Lampa,102034,commune of Chile,1888-01-01,451.9
"Lago Ranco, Chile",9896,commune of Chile,1941-02-14,1763.3
