col0,col1,col2,col3,col4
starch,hydrogen,polysaccharides,food ingredient,starch metabolic process
citric acid,hydrogen,tricarboxylic acid,acidity regulator,tricarboxylic acid cycle
eugenol,carbon,allergen,chemical compound,eugenol metabolic process
citric acid,hydrogen,tricarboxylic acid,chemical compound,tricarboxylic acid cycle
curry powder,powdered turmeric,food,food ingredient,curry
fried rice,cooked rice,rice dish,food ingredient,Peruvian cuisine
ras el hanout,cinnamon,spice mix,food ingredient,North African cuisine
egg white,Ovalbumin,food,food ingredient,chicken egg
eugenol,carbon,allergen,food ingredient,eugenol metabolic process
semolina,wheat,groat,food ingredient,Basbousa
citric acid,hydrogen,tricarboxylic acid,food ingredient,tricarboxylic acid cycle
egg,egg yolk,food,food ingredient,Gado-gado
