col0,col1,col2,col3,col4,col5
2012 Clásica de San Sebastián,2011 Clásica de San Sebastián,2012-08-14,2013 Clásica de San Sebastián,Luis León Sánchez,Clásica de San Sebastián
2008 Clásica de San Sebastián,2007 Clásica de San Sebastián,2008-08-02,2009 Clásica de San Sebastián,Alejandro Valverde,Clásica de San Sebastián
2000 Clásica de San Sebastián,1999 Clásica de San Sebastián,2000-08-12,2001 Clásica de San Sebastián,Andrei Tchmil,Clásica de San Sebastián
2003 Clásica de San Sebastián,2002 Clásica de San Sebastián,2003-08-09,2004 Clásica de San Sebastián,Paolo Bettini,Clásica de San Sebastián
2007 Clásica de San Sebastián,2006 Clásica de San Sebastián,2007-08-04,2008 Clásica de San Sebastián,Alejandro Valverde,Clásica de San Sebastián
1999 Clásica de San Sebastián,1998 Clásica de San Sebastián,1999-08-07,2000 Clásica de San Sebastián,Francesco Casagrande,Clásica de San Sebastián
1994 Clásica de San Sebastián,1993 Clásica de San Sebastián,1994-08-06,1995 Clásica de San Sebastián,Lance Armstrong,Clásica de San Sebastián
1997 Clásica de San Sebastián,1996 Clásica de San Sebastián,1997-08-09,1998 Clásica de San Sebastián,Davide Rebellin,Clásica de San Sebastián
1988 Clásica de San Sebastián,1987 Clásica de San Sebastián,1988-08-13,1989 Clásica de San Sebastián,Gert-Jan Theunisse,Clásica de San Sebastián
1985 Clásica de San Sebastián,1984 Clásica de San Sebastián,1985-08-16,1986 Clásica de San Sebastián,Adri van der Poel,Clásica de San Sebastián
1987 Clásica de San Sebastián,1986 Clásica de San Sebastián,1987-08-12,1988 Clásica de San Sebastián,Marino Lejarreta,Clásica de San Sebastián
San Sebastián Classic 2019,2018 Clásica de San Sebastián,2019-08-03,2020 Clásica de San Sebastián,Greg Van Avermaet,1.UWT
2018 Clásica de San Sebastián,2017 Clásica de San Sebastián,2018-08-04,San Sebastián Classic 2019,Bauke Mollema,1.UWT
2017 Clásica de San Sebastián,2016 Clásica de San Sebastián,2017-07-29,2018 Clásica de San Sebastián,Bauke Mollema,1.UWT
2016 Clásica de San Sebastián,2015 Clásica de San Sebastián,2016-07-30,2017 Clásica de San Sebastián,Alejandro Valverde,1.UWT
