col0,col1,col2,col3,col4,col5
Minas Gerais,UTC−03:00,Maxakalí,Brazil,Mato Grosso do Sul,Mineirão
Amazonas,UTC−05:00,Yuhup,Brazil,Roraima,Reservatório do Mocó
Pará,UTC−03:00,Sikiana,Brazil,Tocantins,Estádio Olímpico do Pará
Amazonas,UTC−05:00,Arap,Brazil,Rondônia,Amazon Theatre
Pará,UTC−03:00,Anambé,Brazil,Mato Grosso,Estádio Olímpico do Pará
Amazonas,UTC−04:00,Paumarí,Brazil,Amazonas Department,Vivaldão
Rio de Janeiro,UTC−03:00,Cafundó language,Brazil,São Paulo,Estádio Caio Martins
Pará,UTC−03:00,Aurá,Brazil,Roraima,Estádio Olímpico do Pará
Goiás,UTC−03:00,Avá-Canoeiro,Brazil,Minas Gerais,Estádio Serra Dourada
Mato Grosso,UTC−04:00,Bororo language,Brazil,Pará,Arena Pantanal
Amazonas,UTC−05:00,Waimajã language,Brazil,Pará,Vivaldão
Minas Gerais,UTC−03:00,Maxakalí,Brazil,Bahia,Mineirão
Amazonas,UTC−04:00,Waimajã language,Brazil,Acre,Vivaldão
