col0,col1,col2,col3,col4,col5
1968 Belgian Badminton Championships,1969 Belgian Badminton Championships,1968-01-01,national championship,1967 Belgian Badminton Championships,Belgian Badminton Championships
1967 Belgian Badminton Championships,1968 Belgian Badminton Championships,1967-01-01,national championship,1966 Belgian Badminton Championships,Belgian Badminton Championships
1966 Belgian Badminton Championships,1967 Belgian Badminton Championships,1966-01-01,national championship,1965 Belgian Badminton Championships,Belgian Badminton Championships
1965 Belgian Badminton Championships,1966 Belgian Badminton Championships,1965-01-01,national championship,1964 Belgian Badminton Championships,Belgian Badminton Championships
1964 Belgian Badminton Championships,1965 Belgian Badminton Championships,1964-01-01,national championship,1963 Belgian Badminton Championships,Belgian Badminton Championships
1963 Belgian Badminton Championships,1964 Belgian Badminton Championships,1963-01-01,national championship,1962 Belgian Badminton Championships,Belgian Badminton Championships
1962 Belgian Badminton Championships,1963 Belgian Badminton Championships,1962-01-01,national championship,1961 Belgian Badminton Championships,Belgian Badminton Championships
1961 Belgian Badminton Championships,1962 Belgian Badminton Championships,1961-01-01,national championship,1960 Belgian Badminton Championships,Belgian Badminton Championships
1960 Belgian Badminton Championships,1961 Belgian Badminton Championships,1960-01-01,national championship,1959 Belgian Badminton Championships,Belgian Badminton Championships
1959 Belgian Badminton Championships,1960 Belgian Badminton Championships,1959-01-01,national championship,1958 Belgian Badminton Championships,Belgian Badminton Championships
1958 Belgian Badminton Championships,1959 Belgian Badminton Championships,1958-01-01,national championship,1957 Belgian Badminton Championships,Belgian Badminton Championships
