col0,col1,col2,col3,col4
HMS Örskär,Swedish Navy,Lindholmen Shipyard,ceremonial ship launching,minesweeper
HMS Vinö,Swedish Navy,Karlskrona shipyard,ceremonial ship launching,minesweeper
HMS Vinga,Swedish Navy,Götaverken,ceremonial ship launching,minesweeper
HMS Viksten,Swedish Navy,Karlskrona shipyard,ceremonial ship launching,minesweeper
HMS Ven,Swedish Navy,Götaverken,ceremonial ship launching,minesweeper
HMS Utö,Swedish Navy,Kalmar shipyard,ceremonial ship launching,minesweeper
HMS Ulvön,Swedish Navy,Oskarshamn Shipyard,ceremonial ship launching,minesweeper
HMS Tärnö,Swedish Navy,Karlskrona shipyard,ceremonial ship launching,minesweeper
HMS Tjörn,Swedish Navy,Djupvik shipyard,ceremonial ship launching,minesweeper
HMS Tjurkö,Swedish Navy,Karlskrona shipyard,ceremonial ship launching,minesweeper
HMS Sökaren,Swedish Navy,Motala Verkstad,ceremonial ship launching,minesweeper
HMS Sveparen,Swedish Navy,Motala Verkstad,ceremonial ship launching,minesweeper
