col0,col1,col2,col3,col4,col5
"Boulder, Chräjeberg, wayside outside of the forest",220,slate,310,boulder,Biel/Bienne
"Boulder, Bärletwald",90,gneiss,290,boulder,Biel/Bienne
"Boulder, Chräjeberg, northern edge of the woods",120,granite,310,boulder,Biel/Bienne
"Boulder, Mahlewagwald II",180,gneiss,240,boulder,Biel/Bienne
"Boulder, Mahlewagwald I",140,gneiss,2,boulder,Biel/Bienne
"Boulder, Luterhölzli/ located at: Museum Schwab Biel",170,gneiss,270,boulder,Biel/Bienne
"Boulder Safnern, Büttenberg/ located at: Historical Museum Bern",80,granite,165,boulder,Safnern
Zeichenstein Balzers,350,gneiss,450,boulder,Balzers
"two stone blocks, Büttenberg, Schlossbahn",80,stone,130,archaeological artifact,Biel/Bienne
"sign stone, Felsenburg Bözingen",250,stone,45,archaeological artifact,Biel/Bienne
"Boulder, Büttenberg, Crossing Bartolomäusweg/ Jungholzweg",120,granite,2,archaeological artifact,Biel/Bienne
"Stein, Pfadigrüebli",170,stone,335,archaeological artifact,Biel/Bienne
"Boulder, Chräjeberg, wayside outside of the forest",220,slate,310,archaeological artifact,Biel/Bienne
