col0,col1,col2,col3
flag of Asturias,1990-12-19,Spain,3:2
flag of Quebec,1948-01-21,Canada,3:2
flag of Prince Edward Island,1964-03-24,Canada,3:2
flag of Greater Poland Voivodeship,2000-01-01,Poland,11:5
flag of Świętokrzyskie Voivodeship,2012-12-28,Poland,7:5
flag of Kyoto prefecture,1976-11-02,Japan,7:5
flag of Podkarpackie Voivodeship,2000-01-01,Poland,8:5
flag of Lubusz Voivodeship,2000-01-01,Poland,8:5
flag of West Pomeranian Voivodeship,2000-01-01,Poland,8:5
flag of Silesian Voivodeship,2001-01-01,Poland,8:5
flag of Lesser Poland Voivodeship,1999-01-01,Poland,8:5
flag of the Lublin Voivodeship,2004-06-14,Poland,8:5
