col0,col1,col2,col3,col4
Tuvalu,monarch of Tuvalu,Polynesia,culture of Tuvalu,3933.274
Fiji,President of Fiji,Melanesia,Culture of Fiji,9574.879
Seychelles,President of Seychelles,East African islands,culture of Seychelles,29327.566
Marshall Islands,President of the Marshall Islands,Micronesia,Marshallese culture,4246.92
Solomon Islands,monarch of the Solomon Islands,Melanesia,culture of the Solomon Islands,2426.923
Trinidad and Tobago,President of Trinidad and Tobago,Caribbean,culture of Trinidad and Tobago,31644.685
Saint Lucia,monarch of Saint Lucia,Caribbean,culture of Saint Lucia,13985.955
Papua New Guinea,monarch of Papua New Guinea,New Guinea,culture of Papua New Guinea,4207.707
Grenada,monarch of Grenada,Lesser Antilles,culture of Grenada,15155.846
Dominica,president of Dominica,Caribbean,culture of Dominica,10037.426
Tonga,monarch of Tonga,Polynesia,culture of Tonga,5969.184
