col0,col1,col2,col3
1951 Tour of Flanders,road bicycle racing,Jean Baldassari,1951-04-01
1957 Tour of Flanders,road bicycle racing,Frans Schoubben,1957-03-31
1952 Tour of Flanders,road bicycle racing,Attilio Redolfi,1952-04-06
1953 Tour of Flanders,road bicycle racing,Attilio Redolfi,1953-04-05
1951 Tour of Flanders,road bicycle racing,André Pieters,1951-04-01
1954 Tour of Flanders,road bicycle racing,Alfredo Martini,1954-04-04
1948 Tour of Flanders,road bicycle racing,Albert Ramon,1948-04-18
1951 Tour of Flanders,road bicycle racing,André Declerck,1951-04-01
1948 Tour of Flanders,road bicycle racing,Cor Bakker,1948-04-18
1954 Tour of Flanders,road bicycle racing,André Rosseel,1954-04-04
