col0,col1,col2,col3
Kiruna Municipality,Kristina Zakrisson,1971-01-01,Malmfältens folkhögskola
Eskilstuna Municipality,Jimmy Jansson,1971-01-01,Gerda
Kiruna Municipality,Kristina Zakrisson,1971-01-01,Lombia IP
Jönköping Municipality,Ann-Mari Nilsson,1971-01-01,Rosenlundshallen
Malmö Municipality,Katrin Stjernfeldt Jammeh,1971-01-01,Malmö IP
Halmstad Municipality,Carl Fredrik Graf,1971-01-01,Halmstad Arena
Eskilstuna Municipality,Jimmy Jansson,1971-01-01,Eskilstuna Airport
Malmö Municipality,Katrin Stjernfeldt Jammeh,1971-01-01,Kombihallen
Eskilstuna Municipality,Jimmy Jansson,1971-01-01,Tunavallen
Lund Municipality,Anders Almgren,1971-01-01,Sparbanken Skåne Arena
Halmstad Municipality,Carl Fredrik Graf,1971-01-01,Örjans Vall
Malmö Municipality,Katrin Stjernfeldt Jammeh,1971-01-01,Malmö stadion
Gävle Municipality,Inger Källgren Sawela,1971-01-01,Gavlevallen
Haparanda Municipality,Peter Waara,1971-01-01,Arena Polarica
