col0,col1,col2,col3,col4
NIH working group report-using genomic information to guide weight management: From universal to precision treatment,ScienceSource,NIH working group report-using genomic information to guide weight management: From universal to precision treatment,Creative Commons Attribution-NonCommercial-NoDerivs 4.0 International,George Weinstock
Making the Leap from Research Laboratory to Clinic: Challenges and Opportunities for Next-Generation Sequencing in Infectious Disease Diagnostics,ScienceSource,Making the Leap from Research Laboratory to Clinic: Challenges and Opportunities for Next-Generation Sequencing in Infectious Disease Diagnostics,Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported,George Weinstock
Global Estimates of the Prevalence and Incidence of Four Curable Sexually Transmitted Infections in 2012 Based on Systematic Review and Global Reporting,ScienceSource,Global Estimates of the Prevalence and Incidence of Four Curable Sexually Transmitted Infections in 2012 Based on Systematic Review and Global Reporting,CC0,Marleen Temmerman
The impact of criminalization of HIV non-disclosure on the healthcare engagement of women living with HIV in Canada: a comprehensive review of the evidence,ScienceSource,The impact of criminalization of HIV non-disclosure on the healthcare engagement of women living with HIV in Canada: a comprehensive review of the evidence,Creative Commons Attribution 3.0 Unported,Angela Kaida
Optimizing HIV prevention for women: a review of evidence from microbicide studies and considerations for gender-sensitive microbicide introduction,ScienceSource,Optimizing HIV prevention for women: a review of evidence from microbicide studies and considerations for gender-sensitive microbicide introduction,Creative Commons Attribution 3.0 Unported,Lori Heise
Epigenetics of Aging and Alzheimer's Disease: Implications for Pharmacogenomics and Drug Response,ScienceSource,Epigenetics of Aging and Alzheimer's Disease: Implications for Pharmacogenomics and Drug Response,Creative Commons Attribution,Ramón Cacabelos
The epidemiology and risk factors of chronic polyneuropathy,ScienceSource,The epidemiology and risk factors of chronic polyneuropathy,Creative Commons Attribution 4.0 International,Pieter A van Doorn
Optimizing HIV prevention for women: a review of evidence from microbicide studies and considerations for gender-sensitive microbicide introduction,ScienceSource,Optimizing HIV prevention for women: a review of evidence from microbicide studies and considerations for gender-sensitive microbicide introduction,Creative Commons Attribution 3.0 Unported,Michele Lanham
ALPPS Procedure for Extended Liver Resections: A Single Centre Experience and a Systematic Review,ScienceSource,ALPPS Procedure for Extended Liver Resections: A Single Centre Experience and a Systematic Review,Creative Commons Attribution 4.0 International,Emad Ali Ahmed
Assessing Social Networks in Patients with Psychotic Disorders: A Systematic Review of Instruments,ScienceSource,Assessing Social Networks in Patients with Psychotic Disorders: A Systematic Review of Instruments,Creative Commons Attribution 4.0 International,Joyce Siette
Human Adenovirus 36 Infection Increased the Risk of Obesity: A Meta-Analysis Update,ScienceSource,Human Adenovirus 36 Infection Increased the Risk of Obesity: A Meta-Analysis Update,Creative Commons Attribution-NonCommercial 4.0 License,Jian Yin
ALPPS Procedure for Extended Liver Resections: A Single Centre Experience and a Systematic Review,ScienceSource,ALPPS Procedure for Extended Liver Resections: A Single Centre Experience and a Systematic Review,Creative Commons Attribution 4.0 International,Daniele Nicolini
Role of Sphingolipids in the Pathobiology of Lung Inflammation,ScienceSource,Role of Sphingolipids in the Pathobiology of Lung Inflammation,Creative Commons Attribution 4.0 International,Riccardo Ghidoni
