col0,col1,col2,col3,col4,col5,col6,col7
Fars Province,12.4,4851274,Farashband County,Iran,Shiraz,122608,Iran
Lorestan Province,14.9,1760649,Pol-e Dokhtar County,Iran,Khorramabad,28294,Iran
Qazvin Province,11.9,1273761,Abyek County,Iran,Qazvin,15567,Iran
Gilan Province,13.2,2530696,Amlash County,Iran,Rasht,14042,Iran
Hormozgan Province,10.3,1776415,Bandar Abbas County,Iran,Bandar Abbas,70697,Iran
Sistan and Baluchestan Province,10.9,2775014,Hirmand County,Iran,Zahedan,181785,Iran
Tehran Province,8.3,13267637,Damavand County,Iran,Tehran,18814,Iran
Ilam Province,11.1,580158,Darreh Shahr County,Iran,Ilam,20133,Iran
Chaharmahal and Bakhtiari Province,15,947763,Farsan County,Iran,Shahrekord,16332,Iran
Kohgiluyeh and Boyer-Ahmad Province,14.8,713052,Dana County,Iran,Yasuj,15504,Iran
North Khorasan Province,14.2,863092,Shirvan County,Iran,Bojnord,28434,Iran
South Khorasan Province,7.6,768898,Boshruyeh County,Iran,Birjand,151193,Iran
Golestan Province,12.4,1868819,Gonbad-e Qabus County,Iran,Gorgan,20367,Iran
Yazd Province,7.8,1138533,Khatam County,Iran,Yazd,76469,Iran
Kermanshah Province,15.7,1952434,Javanrud County,Iran,Kermanshah,25009,Iran
