col0,col1,col2,col3,col4,col5,col6,col7
Louisa County,United States of America,Louisa County,Hanover County,county of Virginia,2.9,Louisa County,1323
Nelson County,United States of America,Nelson County,Augusta County,county of Virginia,0.7,Nelson County,1228
Pulaski County,United States of America,Pulaski County,Radford,county of Virginia,3,Pulaski County,854
Washington County,United States of America,Washington County,Scott County,county of Virginia,0.9,Washington County,566
Orange County,United States of America,Orange County,Greene County,county of Virginia,0.7,Orange County,889
Surry County,United States of America,Surry County,Charles City County,county of Virginia,10.1,Surry County,804
Tazewell County,United States of America,Tazewell County,Smyth County,county of Virginia,0.2,Tazewell County,1347
York County,United States of America,York County,Poquoson,county of Virginia,51.3,York County,215
Franklin County,United States of America,Franklin County,Bedford County,county of Virginia,3,Franklin County,1843
Wise County,United States of America,Wise County,Dickenson County,county of Virginia,0.5,Wise County,405
Roanoke County,United States of America,Roanoke County,Roanoke,county of Virginia,0.3,Roanoke,650
