col0,col1,col2,col3,col4,col5,col6
de la Puerta,Spanish,Latin script,de la,family name,Puerta,Puerta
de la Cerda,Spanish,Latin script,de la,family name,Cerda,Cerda
de la Cruz,Spanish,Latin script,de la,family name,De la Cruz,de la
de la Rosa,Spanish,Latin script,de la,family name,De la Rosa,de la
de Lima,Portuguese,Latin script,de,family name,De Lima,de
de la Vega,Spanish,Latin script,de la,family name,De la Vega,de la
de Jong,Dutch,Latin script,de,family name,De Jong,de
de Sousa,Portuguese,Latin script,de,affixed family name,de Sousa,space
Di Cioccio,Italian,Latin script,di / Di,affixed family name,Di Cioccio,space
De Jongh,Dutch,Latin script,de / De,affixed family name,De Jongh,space
Van Parijs,Dutch,Latin script,Van,affixed family name,Van Parijs,space
de Sousa,Portuguese,Latin script,de,family name,de Sousa,space
