col0,col1,col2,col3
SS United States,United States of America,30.94,Newport News
USS Manchuria,United States of America,19.9,Camden
SS Germanic,United Kingdom of Great Britain and Ireland,13.77,Belfast
USS President Lincoln,German Empire,20.79,Belfast
RMS Arlanza,United Kingdom,19.9,Belfast
SS Orduña,United Kingdom,20.5,Belfast
RMS Oceanic,United Kingdom,12.46,Belfast
RMS Mooltan,United Kingdom,22.4,Belfast
RMS Maloja,United Kingdom,22.37,Belfast
RMS Republic,United Kingdom,20.2,Belfast
SS Ionic,United Kingdom,19.3,Belfast
SS Orbita,United Kingdom,20.5,Belfast
SS Pittsburgh,United Kingdom,20.66,Belfast
RMS Homeric,United Kingdom,24.64,Gdańsk
MV Aureol,United Kingdom,21,Govan
