col0,col1,col2,col3,col4,col5,col6
Carlsbad Caverns National Park,IUCN category II: National Park,United States of America,Carlsbad Caverns National Park,national park of the United States,National Park Service,UNESCO World Heritage Site
Glacier Bay National Park and Preserve,IUCN category V: Protected Landscape/Seascape,United States of America,Glacier Bay National Park and Preserve,national park of the United States,National Park Service,part of World Heritage Site
Mammoth Cave National Park,IUCN category II: National Park,United States of America,Mammoth Cave National Park,national park of the United States,National Park Service,UNESCO World Heritage Site
Death Valley National Park,IUCN category II: National Park,United States of America,Death Valley National Park,national park of the United States,National Park Service,International Dark Sky Park
Mesa Verde National Park,IUCN category II: National Park,United States of America,Mesa Verde National Park,national park of the United States,National Park Service,UNESCO World Heritage Site
Arches National Park,IUCN category II: National Park,United States of America,Arches National Park,national park of the United States,National Park Service,International Dark Sky Park
Grand Canyon National Park,IUCN category II: National Park,United States of America,Grand Canyon National Park,national park of the United States,National Park Service,UNESCO World Heritage Site
Bryce Canyon National Park,IUCN category II: National Park,United States of America,Bryce Canyon National Park,national park of the United States,National Park Service,International Dark Sky Park
Hawaiʻi Volcanoes National Park,IUCN category Ib: Wilderness Area,United States of America,Hawaiʻi Volcanoes National Park,national park of the United States,National Park Service,UNESCO World Heritage Site
Yosemite National Park,IUCN category II: National Park,United States of America,Yosemite National Park,national park of the United States,National Park Service,UNESCO World Heritage Site
Congaree National Park,IUCN category II: National Park,United States of America,Congaree National Park,national park of the United States,National Park Service,National Natural Landmark
