col0,col1,col2,col3,col4,col5
Consolação District,Brazil,São Paulo,district of São Paulo,3.7,57365
Carrão District,Brazil,São Paulo,district of São Paulo,7.5,83281
Cambuci District,Brazil,São Paulo,district of São Paulo,3.9,36948
Butantã District,Brazil,São Paulo,district of São Paulo,12.5,54196
Bom Retiro District,Brazil,São Paulo,district of São Paulo,4,33892
Bela Vista District,Brazil,São Paulo,district of São Paulo,2.6,69460
Barra Funda District,Brazil,São Paulo,district of São Paulo,5.6,14383
Artur Alvim District,Brazil,São Paulo,district of São Paulo,6.6,105269
Aricanduva District,Brazil,São Paulo,district of São Paulo,6.6,89622
Anhanguera District,Brazil,São Paulo,district of São Paulo,33.3,65859
Alto de Pinheiros District,Brazil,São Paulo,district of São Paulo,7.7,43117
