col0,col1,col2,col3
"2018 Healthy Ageing Tour, Stage 1",2018 Boels-Dolmans season,Alice Barnes,8
2018 Tour de Suisse stage 9,Peter Sagan,Sam Oomen,34.1
2018 Tour of California stage 4,Tejay van Garderen,Tao Geoghegan Hart,34.7
"2018 Healthy Ageing Tour, Stage 1",2018 Boels-Dolmans season,Lisa Klein,8
2018 Tour of California stage 4,Tejay van Garderen,Rafał Majka,34.7
"2018 Healthy Ageing Tour, Stage 1",2018 Boels-Dolmans season,Chantal Blaak,8
2018 Tour of California stage 4,Tejay van Garderen,Brent Bookwalter,34.7
2018 Tour de Suisse stage 9,Peter Sagan,Arthur Vichot,34.1
"2018 Healthy Ageing Tour, Stage 1",2018 Boels-Dolmans season,Anna van der Breggen,8
2018 Tour de Suisse stage 9,Peter Sagan,Simon Špilak,34.1
