col0,col1,col2,col3
Delos,unique to a cultural tradition,UTC+03:00,24
Delphi,unique to a cultural tradition,UTC+03:00,2373
Mystras,unique to a cultural tradition,UTC+03:00,448
Rhodes,"on developments in architecture or technology, monumental arts, town-planning or landscape design",UTC+03:00,49541
Delos,"on developments in architecture or technology, monumental arts, town-planning or landscape design",UTC+03:00,24
Delphi,"on developments in architecture or technology, monumental arts, town-planning or landscape design",UTC+03:00,2373
Mystras,"on developments in architecture or technology, monumental arts, town-planning or landscape design",UTC+03:00,448
Delphi,masterpiece of human creative genius,UTC+03:00,2373
Delos,cultural object with outstanding universal significance,UTC+02:00,24
Delphi,cultural object with outstanding universal significance,UTC+02:00,2373
Rhodes,object illustrates  significant stage in human history,UTC+02:00,49541
