col0,col1,col2,col3
pseudohypericin,aromatic polyketide,520.079432,enzyme inhibitor
chrysarobin,aromatic polyketide,240.079,carcinogen
Chrysophanol,aromatic polyketide,254.058,mutagen
emodin,aromatic polyketide,270.053,Cathartic
pterostilbene,aromatic polyketide,256.11,phytoalexin
rhein,aromatic polyketide,284.032,enzyme inhibitor
hypericin,aromatic polyketide,504.084517,antidepressant
griseofulvin,aromatic polyketide,352.071366,antifungal
resveratrol,aromatic polyketide,228.079,antioxidant
pterostilbene,stilbenoid,256.11,phytoalexin
