col0,col1,col2,col3,col4,col5,col6
如,kanji,Jōyō kanji,人,Basic Hanja for educational use,여,CJK Unified Ideographs
樂,traditional Chinese characters,jinmeiyō kanji,五,Basic Hanja for educational use,악,CJK Unified Ideographs
汪,kanji,hyōgai kanji,光,Table of standardized forms for frequently used national characters,왕,CJK Unified Ideographs
或,kanji,jinmeiyō kanji,胡,Table of standardized forms for frequently used national characters,혹,CJK Unified Ideographs
烏,kanji,jinmeiyō kanji,都,Basic Hanja for educational use,오,CJK Unified Ideographs
鳥,kanji,grade 2 kyōiku kanji,都,Basic Hanja for educational use,조,CJK Unified Ideographs
魚,Chữ nho,grade 2 kyōiku kanji,牛,Table of hanja for personal names,어,CJK Unified Ideographs
於,kanji,jinmeiyō kanji,都,Table of hanja for personal names,어,CJK Unified Ideographs
魚,Chữ nho,grade 2 kyōiku kanji,語,Table of Jōyō kanji,어,CJK Unified Ideographs
於,legacy Hanzi,jinmeiyō kanji,央,Basic Hanja for educational use,어,CJK Unified Ideographs
樂,chữ Nôm,jinmeiyō kanji,五,Basic Hanja for educational use,악,CJK Unified Ideographs
北,legacy Hanzi,grade 2 kyōiku kanji,墨,Basic Hanja for educational use,북,CJK Unified Ideographs
天,kanji,grade 1 kyōiku kanji,年,Basic Hanja for educational use,천,CJK Unified Ideographs
愛,kanji,grade 4 kyōiku kanji,代,Basic Hanja for educational use,애,CJK Unified Ideographs
父,kanji,grade 2 kyōiku kanji,雨,Basic Hanja for educational use,부,CJK Unified Ideographs
