col0,col1,col2,col3,col4
2018 ASB Classic,WTA International tournaments,2018-01-01,tennis,2019 ASB Classic (women)
2018 Brisbane International,WTA Premier tournament,2017-12-31,tennis,2019 Brisbane International (women)
2018 Shenzhen Open,WTA International tournaments,2018-01-01,tennis,2019 WTA Shenzhen Open
2017 Kremlin Cup,ATP World Tour 250 series,2017-10-16,tennis,2018 Kremlin Cup (men)
2017 China Open Men,ATP World Tour 500 series,2017-10-02,tennis,2018 China Open (men)
2017 Western & Southern Open,WTA Premier Five,2017-08-14,tennis,2018 Western & Southern Open (women)
2017 Western & Southern Open,ATP Tour Masters 1000,2017-08-13,tennis,2018 Western & Southern Open (men)
2017 Citi Open,ATP World Tour 500 series,2017-07-31,tennis,2018 Citi Open (men)
2017 Citi Open,WTA International tournaments,2017-06-29,tennis,2018 Citi Open (women)
2017 Aegon Open Nottingham,WTA International tournaments,2017-06-12,tennis,2018 Nottingham Open (women)
2017 Ricoh Open,ATP World Tour 250 series,2017-06-12,tennis,2018 Rosmalen Grass Court Championships (men)
