col0,col1,col2,col3
OSM XML,OpenStreetMap,Extensible Markup Language,XML application
Broadcast Markup Language,Association of Radio Industries and Businesses,Extensible Markup Language,XML application
Vector Markup Language,Microsoft,Extensible Markup Language,XML application
MXML,Adobe,Extensible Markup Language,XML application
Synchronized Multimedia Integration Language,World Wide Web Consortium,Extensible Markup Language,XML application
Channel Definition Format,Microsoft,Extensible Markup Language,XML application
X3D,Web3D Consortium,Virtual Reality Modeling Language,XML application
MusicXML,W3C Music Notation Community Group,Extensible Markup Language,XML application
Extensible HyperText Markup Language,World Wide Web Consortium,Extensible Markup Language,XML application
Keyhole Markup Language,Google,Extensible Markup Language,XML application
Scalable Vector Graphics,World Wide Web Consortium,Extensible Markup Language,XML application
MXML,Adobe,Extensible Markup Language,user interface markup language
Vector Markup Language,Microsoft,Extensible Markup Language,image file format
Scalable Vector Graphics,World Wide Web Consortium,Extensible Markup Language,image file format
