col0,col1,col2,col3
Bishop's House,official residence,Portland,Gothic Revival architecture
Thomas T. Gaff House,official residence,"Washington, D.C.",châteauesque
National Palace,official residence,Santo Domingo,Victorian architecture
Mahlamba Ndlopfu,official residence,Pretoria,Cape Dutch architecture
Hotel Errera,official residence,Brussels,Neoclassical architecture
Gracie Mansion,official residence,Manhattan,Federal architecture
Casa de Nariño,official residence,La gran bretaña,Neoclassical architecture
Kultaranta,official residence,Naantali,Art Nouveau
Palace of the Reich President,official residence,Mitte,Louis Quinze
Government House,official residence,Adelaide,Neoclassical architecture
