col0,col1,col2,col3,col4,col5
NGC 3180,J2000.0,1851-01-25,infrared source,154.5707708,11.3
NGC 281,J2000.0,1881-11-16,sub-millimetric source,13.10458,3.1
Tarantula Nebula,J2000.0,1751-01-01,star-forming region,84.65,179000
Orion Nebula,J2000.0,1610-11-26,astrophysical X-ray source,83.82208,0.5
NGC 2467,J2000.0,1784-12-09,astronomical radio source,118.077,1355
NGC 281,J2000.0,1881-11-16,astronomical radio source,13.10458,3.1
Orion Nebula,J2000.0,1610-11-26,astronomical radio source,83.82208,0.5
Eagle Nebula,J2000.0,1745-01-01,astronomical radio source,274.7,1719
NGC 2467,J2000.0,1784-12-09,star cluster,118.077,1355
NGC 281,J2000.0,1881-11-16,star cluster,13.10458,3.1
NGC 2467,J2000.0,1784-12-09,open cluster,118.077,1355
