col0,col1,col2,col3,col4
Dizionario Enciclopedico Universale della Musica e dei Musicisti,Italian,1983-01-01,encyclopedia,encyclopedia
Encyclopaedia of Chess Openings,Serbian,1974-01-01,encyclopedia,encyclopedia
Dictionnaire des féministes,French,2017-02-15,written work,biographical dictionary
Enciclopedia dei ragazzi Mondadori,Italian,1911-01-01,editorial collection,encyclopedia
The Oxford Dictionary of Nursery Rhymes,English,1951-01-01,literary work,reference work
Encyklopédia astronómie,Slovak,1987-01-01,literary work,astronomy
Riemann's Music Dictionary,Russian,1901-01-01,"version, edition, or translation",encyclopedic dictionary
Diccionario geográfico-estadístico-histórico de España y sus posesiones de Ultramar,Spanish,1845-01-01,encyclopedia,statistics
Childcraft,English,1964-01-01,encyclopedia,encyclopedia
Warfare in the Classical World,English,1980-01-01,encyclopedia,encyclopedia
