col0,col1,col2,col3,col4
villa Saint-Charles,Charles X of France,France,100,15th arrondissement of Paris
villa Soutine,Chaim Soutine,France,54,14th arrondissement of Paris
villa d'Alésia,Battle of Alesia,France,290,14th arrondissement of Paris
villa Seurat,Georges Seurat,France,130,14th arrondissement of Paris
villa d'Orléans,Orléans,France,80,14th arrondissement of Paris
villa Robert-Doisneau,Robert Doisneau,France,95,13th arrondissement of Paris
villa d'Este,Este,France,285,13th arrondissement of Paris
villa de Saint-Mandé,Saint-Mandé,France,119,12th arrondissement of Paris
villa Nicolas-de-Blégny,Nicolas de Blégny,France,155,11th arrondissement of Paris
villa d'Este,Este,France,285,Paris
villa Adrienne,Adrienne,France,330,Petit-Montrouge
villa Ballu,Théodore Ballu,France,45,9th arrondissement of Paris
