col0,col1,col2,col3,col4,col5,col6
1967 Slovenia International Badminton Championships,Slovenia,1967-01-01,badminton,1967 Slovenia International Badminton Championships – Men's doubles,Ljubljana,Slovenia International Badminton Championships
1966 Slovenia International Badminton Championships,Slovenia,1966-01-01,badminton,1966 Slovenia International Badminton Championships – Men's doubles,Ljubljana,Slovenia International Badminton Championships
1965 Slovenia International Badminton Championships,Slovenia,1965-01-01,badminton,1965 Slovenia International Badminton Championships – Men's doubles,Ljubljana,Slovenia International Badminton Championships
1964 Slovenia International Badminton Championships,Slovenia,1964-01-01,badminton,1964 Slovenia International Badminton Championships – Men's doubles,Ljubljana,Slovenia International Badminton Championships
1963 Slovenia International Badminton Championships,Slovenia,1963-01-01,badminton,1963 Slovenia International Badminton Championships – Men's doubles,Ljubljana,Slovenia International Badminton Championships
2011 Slovenia International Badminton Championships,Slovenia,2011-01-01,badminton,2011 Slovenia International Badminton Championships – Men's doubles,Medvode,Slovenia International Badminton Championships
2012 Slovenia International Badminton Championships,Slovenia,2012-01-01,badminton,2012 Slovenia International Badminton Championships – Men's doubles,Medvode,Slovenia International Badminton Championships
2003 Slovenia International Badminton Championships,Slovenia,2003-01-01,badminton,2003 Slovenia International Badminton Championships – Men's doubles,Ljubljana,Slovenia International Badminton Championships
2002 Slovenia International Badminton Championships,Slovenia,2002-01-01,badminton,2002 Slovenia International Badminton Championships – Men's doubles,Ljubljana,Slovenia International Badminton Championships
2001 Slovenia International Badminton Championships,Slovenia,2001-01-01,badminton,2001 Slovenia International Badminton Championships – Men's doubles,Ljubljana,Slovenia International Badminton Championships
1999 Slovenia International Badminton Championships,Slovenia,1999-01-01,badminton,1999 Slovenia International Badminton Championships – Men's doubles,Ljubljana,Slovenia International Badminton Championships
2000 Slovenia International Badminton Championships,Slovenia,2000-01-01,badminton,2000 Slovenia International Badminton Championships – Men's doubles,Ljubljana,Slovenia International Badminton Championships
2010 Slovenia International Badminton Championships,Slovenia,2010-01-01,badminton,2010 Slovenia International Badminton Championships – Men's doubles,Lendava,Slovenia International Badminton Championships
2019 Slovenia International Badminton Championships,Slovenia,2019-01-01,badminton,2019 Slovenia International Badminton Championships – Men's doubles,Medvode,Slovenia International Badminton Championships
2018 Slovenia International Badminton Championships,Slovenia,2018-01-01,badminton,2018 Slovenia International Badminton Championships – Men's doubles,Medvode,Slovenia International Badminton Championships
