col0,col1,col2,col3,col4,col5,col6
[MRD2012] 1763,20.696,2.6386,irregular variable,-5.298071986844,26.755724,Orion
V* V2623 Ori,9.626,2.14,irregular variable,-8.541732223534,36.55,Orion
V* AO Sco,8.463,0.0438,irregular variable,-21.7577646233357,-158.33,Scorpius
BD+36 3419,10.09,3.529,irregular variable,37.1463882632558,-26.42,Lyra
V* V497 Lyr,8.82,0.1471,irregular variable,36.385876336214,-135.52,Lyra
TYC 9505-167-1,11.22,0.4359,irregular variable,-89.2613715240056,-8.81,Octans
TYC 9501-454-1,12.07,5.894,irregular variable,-87.373616440451,11.66,Octans
[WMK2011] CSTAR 5954,8.442,0.0653,irregular variable,-87.6936915504034,57.12,Octans
[WMK2011] CSTAR 76723,7.415,0.0761,irregular variable,-88.7982930329502,22.13,Octans
[WMK2011] CSTAR 119488,6.814,0.2077,irregular variable,-88.2299839808279,-15.06,Octans
HD 104486,9.14,2.1039,irregular variable,-6.2826517813156,20.66,Virgo
Cl* NGC 1904 SAW V33,12.113,1.0409,irregular variable,-24.3607135652432,2,Lepus
AG+22 528,10.11,5.2889,irregular variable,22.8217619307252,23.72,Taurus
