col0,col1,col2,col3,col4,col5
PB1,Mitochondrial dysfunction associated with increased oxidative stress and α-synuclein accumulation in PARK2 iPSC-derived neurons and postmortem brain tissue.,induced pluripotent stem cell,PB2,Parkinson disease,Homo sapiens
TPB4,Functional Neurons Generated from T Cell-Derived Induced Pluripotent Stem Cells for Neurological Disease Modeling,induced pluripotent stem cell,PB2,Parkinson disease,Homo sapiens
BRCA2-999del5-2T,Dysfunctional telomeres in human BRCA2 mutated breast tumors and cell lines.,transformed cell line,BRCA2-999del5-2N,invasive mammary ductal carcinoma,Homo sapiens
CAL-18B,Characterization of a new surface epitope specific for human epithelial cells defined by a monoclonal antibody and application to tumor diagnosis.,cancer cell line,CAL-18A,breast carcinoma,Homo sapiens
C831L,Lack and restoration of sensitivity of lung cancer cells to cellular attack with special reference to expression of human leukocyte antigen class I and/or major histocompatibility complex class I chain related molecules A/B.,cancer cell line,C831EBV-B,large-cell lung carcinoma,Homo sapiens
C8146C,Radiation survival of murine and human melanoma cells utilizing two assay systems: monolayer and soft agar.,cancer cell line,C8146A,melanoma,Homo sapiens
C-33 B,One hundred and twenty-seven cultured human tumor cell lines producing tumors in nude mice,cancer cell line,C-33 A,cervical squamous cell carcinoma,Homo sapiens
BWTG3,A mouse hepatoma cell line which secretes several serum proteins including albumin and alpha-foetoprotein.,cancer cell line,BW1,mouse hepatocellular carcinoma,house mouse
BW2,A mouse hepatoma cell line which secretes several serum proteins including albumin and alpha-foetoprotein.,cancer cell line,BW1,mouse hepatocellular carcinoma,house mouse
BT4C,"Rat brain tumor models in experimental neuro-oncology: the C6, 9L, T9, RG2, F98, BT4C, RT-2 and CNS-1 gliomas.",cancer cell line,BT4A,rat malignant glioma,Brown Rat
BSY-2,Expression of carbohydrate-binding protein p33/41 in human tumor cell lines,cancer cell line,BSY-1,breast carcinoma,Homo sapiens
BL-64,The use of lymphomatous and lymphoblastoid cell lines in the study of Burkitt's lymphoma.,cancer cell line,BL-61,Epstein-Barr virus-related Burkitt lymphoma,Homo sapiens
BL-59,No evidence for differences in the Epstein-Barr virus genome carried in Burkitt lymphoma cells and nonmalignant lymphoblastoid cells from the same patients.,cancer cell line,BL-54,Epstein-Barr virus-related Burkitt lymphoma,Homo sapiens
BL-53,The use of lymphomatous and lymphoblastoid cell lines in the study of Burkitt's lymphoma.,cancer cell line,BL-45,Burkitt lymphoma,Homo sapiens
BL-44,Deletions involving two distinct regions of 6q in B-cell non-Hodgkin lymphoma.,cancer cell line,BL-36,Epstein-Barr virus-related Burkitt lymphoma,Homo sapiens
