col0,col1,col2,col3
1966 Clásico RCN,Clásico RCN,Colombia,1966-04-17
1965 Clásico RCN,Clásico RCN,Colombia,1965-02-13
1964 Clásico RCN,Clásico RCN,Colombia,1964-04-18
1963 Clásico RCN,Clásico RCN,Colombia,1963-04-27
1962 Clásico RCN,Clásico RCN,Colombia,1962-03-31
1961 Clásico RCN,Clásico RCN,Colombia,1961-02-25
2016 Clásico RCN,Clásico RCN,Colombia,2016-09-23
2015 Clásico RCN,Clásico RCN,Colombia,2015-09-25
2014 Clásico RCN,Clásico RCN,Colombia,2014-09-26
2013 Clásico RCN,Clásico RCN,Colombia,2013-09-27
