col0,col1,col2,col3
1945 South American Championship,Norberto Doroteo Méndez,sports season,Chile
1964 AFC Asian Cup,Inder Singh,sports season,Israel
1976 AFC Asian Cup,Gholam Hossein Mazloumi,sports season,Iran
1962 African Cup of Nations,Mengistu Worku,sports season,Ethiopia
1963 South American Championship,Carlos Alberto Raffo,sports season,Bolivia
1968 AFC Asian Cup,Homayoun Behzadi,sports season,Iran
1987 FIFA U-16 World Championship,Moussa Traoré,sports season,Canada
1973 CONCACAF Championship,Steve David,sports season,Germany
1972 AFC Asian Cup,Hossein Kalani,sports season,Thailand
Beach Soccer World Cup 2001,Alan Cavalcanti,sports season,Brazil
2006 AFC Challenge Cup,Fahed Attal,sports season,Bangladesh
2014 UEFA Women's U-19 Championship,Vivianne Miedema,sports season,Norway
