col0,col1,col2,col3
Are Rural Municipality,1216,rural municipality of Estonia,Tori Rural Municipality
Kõo Rural Municipality,1009,rural municipality of Estonia,Põhja-Sakala Rural Municipality
Õru Rural Municipality,446,rural municipality of Estonia,Valga Rural Municipality
Pihtla Rural Municipality,1347,rural municipality of Estonia,Saaremaa Rural Municipality
Taheva Rural Municipality,734,rural municipality of Estonia,Valga Rural Municipality
Karula Rural Municipality,954,rural municipality of Estonia,Valga Rural Municipality
Tõlliste Rural Municipality,1592,rural municipality of Estonia,Valga Rural Municipality
Mustjala Rural Municipality,608,rural municipality of Estonia,Saaremaa Rural Municipality
Pöide Rural Municipality,791,rural municipality of Estonia,Saaremaa Rural Municipality
Puka Rural Municipality,1529,rural municipality of Estonia,Elva Rural Municipality
