col0,col1,col2,col3,col4,col5
Clifton Suspension Bridge,United Kingdom,Grade I listed building,Bristol,3,steel bridge
Golden Gate Bridge,United States of America,California Historical Landmark,San Francisco,3,steel bridge
Menai Suspension Bridge,Wales,Grade I listed building,Anglesey,8,toll bridge
Clifton Suspension Bridge,United Kingdom,Grade I listed building,Bristol,3,toll bridge
Golden Gate Bridge,United States of America,California Historical Landmark,San Francisco,3,tourist attraction
Humber Bridge,United Kingdom,Grade I listed building,Hessle,2,road bridge
Menai Suspension Bridge,Wales,Grade I listed building,Anglesey,8,road bridge
Clifton Suspension Bridge,United Kingdom,Grade I listed building,Bristol,3,road bridge
Golden Gate Bridge,United States of America,California Historical Landmark,San Francisco,3,road bridge
Humber Bridge,United Kingdom,Grade I listed building,Hessle,2,suspension bridge
