col0,col1,col2,col3,col4
"Swiss referendums, 1958",Switzerland,referendum,Switzerland,1958-01-01
"Swiss referendum, 1966",Switzerland,referendum,Switzerland,1966-01-01
Swiss referendums,Switzerland,referendum,Switzerland,1968-01-01
"Swiss referendums, 1989",Switzerland,referendum,Switzerland,1989-01-01
Swiss alcohol referendum,Switzerland,referendum,Switzerland,1930-01-01
Swiss real estate referendum,Switzerland,referendum,Switzerland,1967-01-01
"Swiss referendums, 2002",Switzerland,referendum,Switzerland,2002-01-01
"Swiss referendums, 2000",Switzerland,referendum,Switzerland,2000-01-01
"Swiss referendums, 2007",Switzerland,referendum,Switzerland,2007-01-01
"Swiss referendums, 2006",Switzerland,referendum,Switzerland,2006-01-01
"Swiss referendums, 2004",Switzerland,referendum,Switzerland,2004-01-01
