col0,col1,col2,col3,col4
SimThyr,1994-01-01,Scalable Vector Graphics,Linux,application
SolveSpace,2008-01-01,Scalable Vector Graphics,Linux,application
SimThyr,1994-01-01,Joint Photographic Experts Group,Mac OS,application
Adobe Acrobat,1993-06-01,MPEG-4 Part 14,iOS,desktop publishing software
Synfig,2005-01-01,Graphics Interchange Format,Linux,vector graphics editor
Adobe Illustrator,1987-01-01,Adobe Illustrator Artwork,Microsoft Windows,vector graphics editor
Synfig,2005-01-01,Graphics Interchange Format,Linux,application
Adobe Illustrator,1987-01-01,Adobe Illustrator Artwork,Microsoft Windows,application
Adobe Acrobat,1993-06-01,Extensible Markup Language,Android,desktop publishing software
MATLAB,1984-01-01,Hierarchical Data Format,Microsoft Windows,mathematical software
Scribus,2003-06-26,Scribus Document,Linux,prepress
Adobe Acrobat,1993-06-01,Extensible Markup Language,Android,application
MATLAB,1984-01-01,Hierarchical Data Format,Microsoft Windows,application
