col0,col1,col2,col3,col4,col5
2018 Manchester City Council election in Rusholme,Ahmed Ali,Ahmed Ali,2019 Manchester City Council election in Rusholme,United Kingdom,member of Manchester City Council
2018 Manchester City Council election in Moss Side,Sameem Ali,Sameem Ali,2019 Manchester City Council election in Moss Side,United Kingdom,member of Manchester City Council
2018 Manchester City Council election in Miles Platting & Newton Heath,Carmine Grimshaw,Carmine Grimshaw,2019 Manchester City Council election in Miles Platting & Newton Heath,United Kingdom,member of Manchester City Council
2018 Manchester City Council election in Longsight,Luthfur Rahman,Luthfur Rahman,2019 Manchester City Council election in Longsight,United Kingdom,member of Manchester City Council
2018 Manchester City Council election in Harpurhey,Patrick Karney,Patrick Karney,2019 Manchester City Council election in Harpurhey,United Kingdom,member of Manchester City Council
2018 Manchester City Council election in Gorton & Abbey Hey,Louis Hughes,Louis Hughes,2019 Manchester City Council election in Gorton & Abbey Hey,United Kingdom,member of Manchester City Council
2018 Manchester City Council election in Fallowfield,Grace Fletcher-Hackwood,Grace Fletcher-Hackwood,2019 Manchester City Council election in Fallowfield,United Kingdom,member of Manchester City Council
2018 Manchester City Council election in Didsbury West,John Leech,John Leech,2019 Manchester City Council election in Didsbury West,United Kingdom,member of Manchester City Council
2018 Manchester City Council election in Whalley Range,Matt Schreibke,Aftab Razaq,2019 Manchester City Council election in Whalley Range,United Kingdom,member of Manchester City Council
2018 Manchester City Council election in Moss Side,Shazia Riaz,Mahadi Sharif Mahamed,2019 Manchester City Council election in Moss Side,United Kingdom,member of Manchester City Council
2018 Manchester City Council election in Piccadilly,Kara Ng,Adele Douglas,2019 Manchester City Council election in Piccadilly,United Kingdom,member of Manchester City Council
2018 Manchester City Council election in Levenshulme,Dzidra Noor,Dzidra Noor,2019 Manchester City Council election in Levenshulme,United Kingdom,member of Manchester City Council
2018 Manchester City Council election in Hulme,Lee-Ann Igbon,Lee-Ann Igbon,2019 Manchester City Council election in Hulme,United Kingdom,member of Manchester City Council
2018 Manchester City Council election in Higher Blackley,John Farrell,John Farrell,2019 Manchester City Council election in Higher Blackley,United Kingdom,member of Manchester City Council
