col0,col1,col2,col3
Dressler's syndrome,thoracic disease,pericarditis,cardiology
cardiac tamponade,thoracic disease,pericardial effusion,cardiology
hypertrophy of breast,thoracic disease,breast disease,urology
anomalous left coronary artery from the pulmonary artery,thoracic disease,coronary artery anomaly,medical genetics
ventricular fibrillation,thoracic disease,tachycardia,cardiology
lactocele,thoracic disease,breast cyst,gynecology
second-degree atrioventricular block,thoracic disease,atrioventricular block,cardiology
in situ pulmonary adenocarcinoma,thoracic disease,lung cancer,oncology
esophageal atresia,thoracic disease,birth defect,medical genetics
esophagitis,thoracic disease,esophageal disease,gastroenterology
cardiac arrest,thoracic disease,congestive heart failure,cardiology
marantic endocarditis,thoracic disease,endocarditis,cardiology
