col0,col1,col2,col3
NOS-4-A2,Craig Ferguson,fictional robot,Buzz Lightyear of Star Command
Goddard,Dan Castellaneta,fictional robot,The Adventures of Jimmy Neutron: Boy Genius
Bigweld,Mel Brooks,fictional robot,Robots
Wonderbot,Chris Wedge,fictional robot,Robots
Phineas T. Ratchet,Greg Kinnear,fictional robot,Robots
Blue Senturion,David Walsh,fictional robot,Power Rangers in Space
Scaramouche the Merciless,Tom Kenny,fictional robot,Samurai Jack
Armagedroid,Kevin Michael Richardson,fictional robot,My Life as a Teenage Robot
T.O.M.,Steve Blum,fictional robot,Toonami
Killgore,Tara Strong,fictional robot,My Life as a Teenage Robot
GIR,Rosearik Rikki Simons,fictional robot,Invader Zim
Blue Senturion,David Walsh,television character,Power Rangers in Space
Scaramouche the Merciless,Tom Kenny,television character,Samurai Jack
Goddard,Dan Castellaneta,fictional dog,The Adventures of Jimmy Neutron: Boy Genius
