col0,col1,col2,col3,col4
Lípa v Dolní Stropnici,23,605,solitary,Czech Republic
Drahoslavická lípa,32,513,solitary,Czech Republic
Baisova lípa,25,450,solitary,Czech Republic
Lípa v Plavu,25,300,remarkable tree,Czech Republic
Lípa v Dolní Stropnici,23,605,remarkable tree,Czech Republic
Drahoslavická lípa,32,513,remarkable tree,Czech Republic
Baisova lípa,25,450,remarkable tree,Czech Republic
Lípa v Plavu,25,300,Tilia cordata,Czech Republic
Lípa v Dolní Stropnici,23,605,Tilia cordata,Czech Republic
Drahoslavická lípa,32,513,Tilia cordata,Czech Republic
Baisova lípa,25,450,Tilia cordata,Czech Republic
Nebahovská lípa,20,576,solitary,Czech Republic
Onšovická lípa,29,330,solitary,Czech Republic
Paštická lípa,26,420,solitary,Czech Republic
Lípa v Novinách pod Ralskem,20,485,solitary,Czech Republic
