col0,col1,col2,col3,col4,col5,col6,col7
1976 Norwegian International Badminton Championships,Norway,WikiProject Badminton/tournament focus list,1977 Norwegian International Badminton Championships,open championship,Kristiansand,Norwegian International Badminton Championships,badminton
1972 Norwegian International Badminton Championships,Norway,WikiProject Badminton/tournament focus list,1973 Norwegian International Badminton Championships,open championship,Sandefjord,Norwegian International Badminton Championships,badminton
2015 Norwegian International Badminton Championships,Norway,WikiProject Badminton/tournament focus list,2016 Norwegian International Badminton Championships,open championship,Sandefjord,Norwegian International Badminton Championships,badminton
2014 Norwegian International Badminton Championships,Norway,WikiProject Badminton/tournament focus list,2015 Norwegian International Badminton Championships,open championship,Sandefjord,Norwegian International Badminton Championships,badminton
2013 Norwegian International Badminton Championships,Norway,WikiProject Badminton/tournament focus list,2014 Norwegian International Badminton Championships,open championship,Sandefjord,Norwegian International Badminton Championships,badminton
2012 Norwegian International Badminton Championships,Norway,WikiProject Badminton/tournament focus list,2013 Norwegian International Badminton Championships,open championship,Oslo,Norwegian International Badminton Championships,badminton
2011 Norwegian International Badminton Championships,Norway,WikiProject Badminton/tournament focus list,2012 Norwegian International Badminton Championships,open championship,Oslo,Norwegian International Badminton Championships,badminton
2010 Norwegian International Badminton Championships,Norway,WikiProject Badminton/tournament focus list,2011 Norwegian International Badminton Championships,open championship,Oslo,Norwegian International Badminton Championships,badminton
2009 Norwegian International Badminton Championships,Norway,WikiProject Badminton/tournament focus list,2010 Norwegian International Badminton Championships,open championship,Oslo,Norwegian International Badminton Championships,badminton
2008 Norwegian International Badminton Championships,Norway,WikiProject Badminton/tournament focus list,2009 Norwegian International Badminton Championships,open championship,Oslo,Norwegian International Badminton Championships,badminton
2006 Norwegian International Badminton Championships,Norway,WikiProject Badminton/tournament focus list,2007 Norwegian International Badminton Championships,open championship,Oslo,Norwegian International Badminton Championships,badminton
2001 Norwegian International Badminton Championships,Norway,WikiProject Badminton/tournament focus list,2002 Norwegian International Badminton Championships,open championship,Sandefjord,Norwegian International Badminton Championships,badminton
2000 Norwegian International Badminton Championships,Norway,WikiProject Badminton/tournament focus list,2001 Norwegian International Badminton Championships,open championship,Sandefjord,Norwegian International Badminton Championships,badminton
