col0,col1,col2,col3,col4
Pendleton,Pacific Time Zone,1851-01-01,27.950187,Umatilla County
Hillsboro,UTC−08:00,1841-01-01,64.738407,Washington County
Coquille,UTC−08:00,1885-01-01,2.8,Coos County
Bend,UTC−08:00,1905-01-01,33.27,Deschutes County
Gold Beach,UTC−08:00,1853-01-01,2.76,Curry County
Salem,UTC−08:00,1842-01-01,127.220892,Marion County
Oregon City,UTC−08:00,1829-01-01,9.29,Clackamas County
Grants Pass,Pacific Time Zone,1865-01-01,30.042257,Josephine County
Klamath Falls,UTC−08:00,1905-01-01,20.66,Klamath County
St. Helens,UTC−08:00,1889-01-01,15.278743,Columbia County
Astoria,UTC−08:00,1811-01-01,25.774582,Clatsop County
Hood River,UTC−08:00,1895-01-01,8.743494,Hood River County
Prineville,Pacific Time Zone,1880-01-01,10.92,Crook County
Corvallis,UTC−08:00,1845-01-01,14.3,Benton County
