col0,col1,col2,col3,col4
Ash Williams,Ash Williams,Ashley,horror film character,male
Norman Bates,Norman Bates,Norman,horror film character,male
Annie Wilkes,Annie Wilkes,Annie,horror film character,female
Michael Myers,Michael Myers,Michael,horror film character,male
Beverly Marsh,Beverly Marsh,Beverly,television character,female
Bill Denbrough,Bill Denbrough,William,television character,male
Larry Talbot,Larry Talbot,Lawrence,television character,male
Ash Williams,Ash Williams,Ashley,television character,male
Georgie Denbrough,Georgie Denbrough,Elmer,fictional human,male
Isaac Chroner,Isaac Chroner,Isaac,fictional human,male
