col0,col1,col2,col3,col4
Great Crested Grebe,39.5,least concern,Encyclopedia of Armenian Nature,3.9
Rook,418,least concern,Armenian Soviet Encyclopedia,3.7
Saker falcon,1.13,endangered species,Brockhaus and Efron Encyclopedic Dictionary,3.9
Pastor roseus,6.6,least concern,Small Brockhaus and Efron Encyclopedic Dictionary,4.2
Barred Warbler,2.63,least concern,Encyclopedia of Armenian Nature,4.2
Ortolan Bunting,2.48,least concern,Encyclopedia of Armenian Nature,4.5
Thrush Nightingale,3.06,least concern,Encyclopedia of Armenian Nature,4.5
Myocastor coypus,6.36,least concern,Encyclopedia of Armenian Nature,4.5
Eurasian Treecreeper,9.95,least concern,10th edition of Systema Naturae,4.2
Eurasian Blackcap,2.19,least concern,Armenian Soviet Encyclopedia,4.5
Thrush Nightingale,3.06,least concern,Nordisk familjebok,4.5
Pastor roseus,6.6,least concern,Brockhaus and Efron Encyclopedic Dictionary,4.2
Calandra Lark,55,least concern,Brockhaus and Efron Encyclopedic Dictionary,4.2
