col0,col1,col2,col3,col4,col5
Spirit Of Piraeus,Spirit Of Piraeus,Singapore,26047,"CSBC Corporation, Taiwan",11.01
Isolde,Isolde,Liberia,25535,Nordseewerke,11.55
Montevideo Express,Montevideo Express,Liberia,66058,Samsung Heavy Industries,14
Newyorker,Newyorker,Panama,25294,Samsung Heavy Industries,11.4
MSC Matilde,MSC Matilde,Panama,53208,Samsung Heavy Industries,13.5
Em Chios,Em Chios,Marshall Islands,25294,Samsung Heavy Industries,11.4
Diaporos,Diaporos,Liberia,73157,Hanjin Heavy Industries & Construction,14.3
CMA CGM Baudelaire,CMA CGM Baudelaire,Germany,73172,Hanjin Heavy Industries & Construction,14
Hanjin Vienna,Hanjin Vienna,Germany,65918,Hanjin Heavy Industries & Construction,14
Hanjin Athens,Hanjin Athens,Germany,66278,Hanjin Heavy Industries & Construction,14
Oakland Express,Oakland Express,Hong Kong,54437,Hyundai Heavy Industries,13.55
Msc Annick,Msc Annick,Panama,40306,Hyundai Heavy Industries,12.52
