col0,col1,col2,col3,col4,col5
Roman Bridge of Chaves,Tâmega River,Portugal,Madalena e Samaiões,Roman archaeological site,12
Vaison-la-Romaine Roman Bridge,Ouvèze,France,Vaison-la-Romaine,deck arch bridge,1
Pont Julien,Calavon,France,Apt,deck arch bridge,3
Pont-Saint-Martin,Lys,Italy,"Pont-Saint-Martin, Aosta Valley",deck arch bridge,1
Ponte Milvio,Tiber,Italy,Rome,deck arch bridge,6
Alcántara Bridge,Tagus river,Spain,Alcántara,deck arch bridge,8
Bridge near Limyra,Alakır Çayı,Turkey,Limyra,deck arch bridge,28
Alconétar Bridge,Tagus river,Spain,Garrovillas de Alconétar,deck arch bridge,18
Pons Fabricius,Tiber,Italy,Rome,deck arch bridge,2
Pont des Marchands,Canal de la Robine,France,Narbonne,deck arch bridge,1
