col0,col1,col2,col3,col4,col5
Sct Peru,Laura S,Marshall Islands,25624,P+S Werften,11.4
Messologi,Mayview Maersk,Panama,52181,Odense Steel Shipyard,13.52
MSC Pilar,Magleby,Panama,52181,Odense Steel Shipyard,13.52
Msc Sariska,Majestic,Panama,52181,Odense Steel Shipyard,13.52
MSC Manu,Victor,Panama,52191,Odense Steel Shipyard,13.52
MSC Mandraki,Maersk Mandraki,Greece,52191,Odense Steel Shipyard,13.5
Jan S,Calaparana,Antigua and Barbuda,18166,Nordic Yards Wismar,10.5
Tag 81,Contship Action,Liberia,31207,MV Werften Rostock GmbH,12.5
MSC America,America Senator,Panama,34231,Nordseewerke,12.5
MSC Venezuela,France,United Kingdom,51931,Daewoo Shipbuilding & Marine Engineering,13.02
Milan Express,Cast Premier,Bermuda,33662,Samsung Heavy Industries,10.8
Kiel Express,Hannover Express,Bermuda,53783,Samsung Heavy Industries,13.5
