col0,col1,col2,col3,col4,col5
Benjamin,Latin script,Benjamín,Ben,most frequent first names at birth in Rotterdam (1811-1913),August 30
Albert,Latin script,Albrecht,Al,most frequent first names at birth in Rotterdam (1811-1913),August 30
Benjamin,Latin script,Beniamino,Ben,most frequent first names at birth in Rotterdam (1811-1913),August 30
Albert,Latin script,Vojtěch,Al,most frequent first names at birth in Rotterdam (1811-1913),August 30
Benjamin,Latin script,Bünyamin,Ben,most frequent first names at birth in Rotterdam (1811-1913),August 30
Albert,Latin script,Wojciech,Al,most frequent first names at birth in Rotterdam (1811-1913),August 30
Benjamin,Latin script,Benjaminas,Ben,most frequent first names at birth in Rotterdam (1811-1913),August 30
Albert,Latin script,Adalbert,Al,most frequent first names at birth in Rotterdam (1811-1913),August 30
Ronald,Latin script,Ronny,Ron,"frequency of first names in the Netherlands, 2010",August 9
William,Latin script,Guglielmo,Willie,most frequent first names at birth in Rotterdam (1811-1913),April 6
