col0,col1,col2,col3,col4
2001 IAAF World Half Marathon Championships,202,2002 IAAF World Half Marathon Championships,athletics,IAAF World Half Marathon Championships
2007 IAAF World Road Running Championships,144,2008 IAAF World Half Marathon Championships,athletics,IAAF World Half Marathon Championships
1998 IAAF World Half Marathon Championships,236,1999 IAAF World Half Marathon Championships,athletics,IAAF World Half Marathon Championships
2008 IAAF World Half Marathon Championships,157,2009 IAAF World Half Marathon Championships,athletics,IAAF World Half Marathon Championships
2000 IAAF World Half Marathon Championships,182,2001 IAAF World Half Marathon Championships,athletics,sports season
1999 IAAF World Half Marathon Championships,193,2000 IAAF World Half Marathon Championships,athletics,sports season
1994 IAAF World Half Marathon Championships,215,1995 IAAF World Half Marathon Championships,athletics,sports season
2002 IAAF World Half Marathon Championships,201,2003 IAAF World Half Marathon Championships,athletics,sports season
1996 IAAF World Half Marathon Championships,209,1997 IAAF World Half Marathon Championships,athletics,sports season
2000 IAAF World Half Marathon Championships,182,2001 IAAF World Half Marathon Championships,athletics,IAAF World Half Marathon Championships
1999 IAAF World Half Marathon Championships,193,2000 IAAF World Half Marathon Championships,athletics,IAAF World Half Marathon Championships
1994 IAAF World Half Marathon Championships,215,1995 IAAF World Half Marathon Championships,athletics,IAAF World Half Marathon Championships
