col0,col1,col2,col3
Neuwaldegg,864,Austria,cadastral municipality of Austria
Molzbichl,66,Austria,cadastral municipality of Austria
Niederau,341,Austria,cadastral municipality of Austria
St. Oswald,200,Austria,cadastral municipality of Austria
Kleinhadersdorf,198,Austria,cadastral municipality of Austria
Hörersdorf,208,Austria,cadastral municipality of Austria
Lackenhof,154,Austria,cadastral municipality of Austria
Hollenbach,130,Austria,cadastral municipality of Austria
Pranhartsberg,32,Austria,cadastral municipality of Austria
Greifenstein,89,Austria,cadastral municipality of Austria
Puchberg im Machland,38,Austria,cadastral municipality of Austria
Gnies,153,Austria,cadastral municipality of Austria
Neuwaldegg,864,Austria,quarter
