col0,col1,col2,col3,col4,col5,col6,col7
manganese-69,2.5,562143,isotope of manganese,iron-69,-24770,manganese,-1
manganese-67,2.5,554693,isotope of manganese,iron-66,-33460,manganese,1
manganese-65,2.5,546044.265,isotope of manganese,iron-64,-40967.339,manganese,-1
manganese-64,1,539994.688,isotope of manganese,iron-63,-42989.035,manganese,1
manganese-63,2.5,535821.363,isotope of manganese,iron-62,-46887.053,manganese,-1
manganese-62,3,529386.938,isotope of manganese,iron-61,-48523.957,manganese,1
manganese-60,1,517688.28,isotope of manganese,iron-60,-52967.938,manganese,1
manganese-58,1,504405.294,isotope of manganese,iron-58,-55827.56,manganese,1
manganese-57,2.5,497992.641,isotope of manganese,iron-57,-57486.251,manganese,-1
manganese-56,3,489346.648,isotope of manganese,iron-56,-56911.538,manganese,1
manganese-54,3,471850.11,isotope of manganese,chromium-54,-55557.629,manganese,1
manganese-52,6,450857.108,isotope of manganese,chromium-52,-50707.284,manganese,1
manganese-51,2.5,440322.372,isotope of manganese,chromium-51,-48243.877,manganese,-1
