col0,col1,col2,col3,col4
1996 Grand Prix de Fourmies,1996-09-15,Grand Prix de Fourmies,44.681,Claudio Chiappucci
1995 Grand Prix de Fourmies,1995-09-10,Grand Prix de Fourmies,41.74,Frank Vandenbroucke
1993 Grand Prix de Fourmies,1993-09-12,Grand Prix de Fourmies,40.635,Maximilian Sciandri
1994 Grand Prix de Fourmies,1994-09-11,Grand Prix de Fourmies,41.379,Andrea Tafi
1992 Grand Prix de Fourmies,1992-09-13,Grand Prix de Fourmies,39.785,Olaf Ludwig
2012 Grand Prix de Fourmies,2012-09-09,Grand Prix de Fourmies,43.156,Alexander Kristoff
2010 Grand Prix de Fourmies,2010-09-12,Grand Prix de Fourmies,44.073,Romain Feillu
2009 Grand Prix de Fourmies,2009-09-13,Grand Prix de Fourmies,42.275,Manuel Belletti
2008 Grand Prix de Fourmies,2008-09-14,Grand Prix de Fourmies,46.085,Giovanni Visconti
2007 Grand Prix de Fourmies,2007-09-16,Grand Prix de Fourmies,45.192,Peter Velits
