col0,col1,col2,col3,col4,col5,col6,col7
Västmanland County,Sweden,Västerås,275845,county of Sweden,541.53,1634-01-01,Gävleborg County
Östergötland County,Sweden,Linköping,465495,county of Sweden,4021.11,1634-01-01,Västra Götaland County
Uppsala County,Sweden,Uppsala,383713,county of Sweden,11940.28,1714-01-01,Åland Islands
Västernorrland County,Sweden,Härnösand,245347,county of Sweden,6445.81,1654-01-01,Jämtland County
Jämtland County,Sweden,Östersund,130810,county of Sweden,4817.38,1810-01-01,Hedmark
Jönköping County,Sweden,Jönköping,363599,county of Sweden,1256.21,1687-01-01,Halland County
Skåne County,Sweden,Malmö,1377827,county of Sweden,6066.5,1997-01-01,Capital Region of Denmark
Västra Götaland County,Sweden,Gothenburg,1725881,county of Sweden,10530.31,1998-01-01,Østfold
Blekinge County,Sweden,Karlskrona,159606,county of Sweden,2931.25,1683-01-01,Kalmar County
Västmanland County,Sweden,Västerås,275845,county of Sweden,541.53,1634-01-01,Uppsala County
Östergötland County,Sweden,Linköping,465495,county of Sweden,4021.11,1634-01-01,Södermanland County
Uppsala County,Sweden,Uppsala,383713,county of Sweden,11940.28,1714-01-01,Västmanland County
