col0,col1,col2,col3,col4
Hippolyta,female,superhero,television character,healing factor
Steppenwolf,male,soldier,animated character,superhuman strength
Hippolyta,female,superhero,animated character,healing factor
Steppenwolf,male,soldier,cosmic entity,superhuman strength
Hippolyta,female,superhero,cosmic entity,superhuman agility / reflexes
Steppenwolf,male,soldier,New Gods,superhuman strength
Wotan,male,magician in fantasy,comics character,magic in fiction
Steppenwolf,male,soldier,comics character,superhuman strength
Dreamslayer,male,leader,demon in a work of fiction,magic in fiction
Hercules,male,superhero,deity in fictional work,healing factor
