col0,col1,col2,col3
Stielers Handatlas,Hermann Berghaus,public domain,1816-01-01
Coelum Stellatum Christianum,Julius Schiller,public domain,1627-01-01
Stielers Handatlas,Christian Gottlieb Reichard,public domain,1816-01-01
Mercator atlas,Rumold Mercator,public domain,1595-01-01
Stielers Handatlas,Adolf Stieler,public domain,1816-01-01
Mercator atlas,Gerardus Mercator,public domain,1595-01-01
A Bengal Atlas,James Rennell,public domain,1779-01-01
"Blaeu's Atlas Maior, Vol 12",Joan Blaeu,public domain,1667-01-01
"Blaeu's Atlas Maior, Vol 11",Joan Blaeu,public domain,1773-01-01
"Blaeu's Atlas Maior, Vol 10",Joan Blaeu,public domain,1667-01-01
"Blaeu's Atlas Maior, Vol 9",Joan Blaeu,public domain,1667-01-01
"Blaeu's Atlas Maior, Vol 8",Joan Blaeu,public domain,1667-01-01
"Blaeu's Atlas Maior, Vol 7",Joan Blaeu,public domain,1667-01-01
"Blaeu's Atlas Maior, Vol 6",Joan Blaeu,public domain,1667-01-01
